Acfer 160,LL,"3,4,5,6",4000.0,200.0
Acfer 175,LL,"5,6",4200.0,210.0
Acfer 193,LL,"4,5,6",4000.0,200.0
Acfer 251,LL,"5,6",3900.0,195.0
Acfer 268,LL,"4,5,6",4100.0,205.0
HaH 052,LL,"5,6",3100.0,155.0
HaH 056,LL,6,800.0,40.0
HaH 057,LL,"5,6",2900.0,145.0
HaH 060,LL,6,4500.0,225.0
HaH 062,LL,"4,5,6",4300.0,215.0
HaH 085,LL,6,4200.0,210.0
HaH 093,LL,3,4500.0,225.0
HaH 096,LL,3,2100.0,105.0
DaG 061,LL,"5,6",4600.0,230.0
DaG 062,LL,"5,6",4800.0,240.0
Adrar 003,"LL,L",3,4300.0,215.0
Tanezrouft 010,"LL,L",3,4100.0,205.0
St Mesmin,LL,6,4325.700269202619,250.33830374913816
NWA 1701,LL,im,970.0,80.0
Yamato 790964,LL,im,1260.3,15.1
Yamato 790448,LL,3,4492.0,20.0
St Severin,LL,6,4345.0,14.0
Uden,LL,7,4130.0,10.0
Bhola,LL,"3,4,5,6",4231.0,16.0
Trebbin,LL,6,4370.0,18.0
ALH 78109,LL,5,4390.0,20.0
ALH 84027,LL,7,4350.0,20.0
Appley Bridge,LL,6,3900.0,195.0
Olivenza,LL,5,4440.0,40.0
LAR 06298,LL,im,1240.0,170.0
Abee,EH,4,4502.0,9.0
Khairpur,EL,6,4530.0,226.5
Hvittis Clast,EL,6,4544.0,18.0
Pillistfer,EL,6,4541.0,41.0
Parsa Clast,EH,3,4527.0,17.0
Blithfield,EL,6,4514.0,20.0
Zaklodzie,E,im,4503.0,9.0
Daniel's Kuil,EL,6,4490.0,20.0
Forrest,EL,6,4350.0,13.0
Indarch,EH,4,4249.0,13.0
QUE 97348,E,im,4444.0,17.0
St Marks,EH,5,3800.0,300.0
Adhi Kot,EH,4,4400.0,300.0
Bethune,EH,"4,5",600.0,100.0
South Oman,EH,"4,5",4200.0,300.0
Yamato 69001,EH,"4,5",1600.0,200.0
Atlanta,EL,6,4300.0,215.0
Jajh deh Kot Lalu,EL,6,4100.0,300.0
North West Forrest,EL,6,4400.0,220.0
Yilmia ,EL,6,4800.0,300.0
St. Sauveur,EH,5,3620.0,181.0
LAP 02225,EH,im,4532.0,9.0
LON 94100,EL,6,4499.0,15.0
TIL 91714,EL,5,4483.0,9.0
ALH A81021,EL,6,4493.0,9.0
Neuschwanstein,EL,6,4480.0,14.0
MAC 88136,EL,3,4454.0,9.0
EET 96135,EH,"4,5",4491.0,65.0
Sahara 97096,EH,3,2288.0,69.0
Happy Canyon,EL,im,4530.0,20.0
Ilafegh 009,EL,im,4390.0,219.5
NWA 4799,EH,im,4220.7,8.8
NWA 7214,EH,im,4484.7,3.5
NWA 7809,EH,im,4463.0,10.0
NWA 11071,EH,im,4499.4,5.0
Rumuruti,R,"3,4,5,6",4460.0,11.2
Acfer 217,R,"3,4,5",4300.0,70.0
